seq_index,start_position,end_position,is_reversed_complement
4671,45,51,0
4671,74,80,0
4671,81,87,0
4671,88,94,0
320,45,51,0
320,74,80,0
320,81,87,0
320,88,94,0
3351,45,51,0
3351,74,80,0
3351,81,87,0
3351,88,94,0
4826,45,51,0
4826,74,80,0
4826,81,87,0
4826,88,94,0
4603,45,51,0
4603,74,80,0
4603,81,87,0
4603,88,94,0
1235,45,51,0
1235,74,80,0
1235,81,87,0
1235,88,94,0
92,45,51,0
92,74,80,0
92,81,87,0
92,88,94,0
3782,45,51,0
3782,74,80,0
3782,81,87,0
3782,88,94,0
2294,30,36,0
2294,59,65,0
2294,66,72,0
2294,73,79,0
2821,45,51,0
2821,74,80,0
2821,81,87,0
2821,88,94,0
468,31,37,0
468,60,66,0
468,67,73,0
468,74,80,0
5785,30,36,0
5785,59,65,0
5785,66,72,0
5785,73,79,0
2934,45,51,0
2934,74,80,0
2934,81,87,0
2934,88,94,0
4282,30,36,0
4282,59,65,0
4282,66,72,0
4282,73,79,0
1142,45,51,0
1142,74,80,0
1142,81,87,0
1142,88,94,0
1350,45,51,0
1350,74,80,0
1350,81,87,0
1350,88,94,0
5875,45,51,0
5875,74,80,0
5875,81,87,0
5875,88,94,0
496,45,51,0
496,74,80,0
496,81,87,0
496,88,94,0
