seq_index,start_position,end_position,is_reversed_complement
32,8,15,0
32,50,57,0
32,64,71,0
3072,45,52,0
3072,87,94,0
3072,101,108,0
3366,45,52,0
3366,87,94,0
3366,101,108,0
5099,45,52,0
5099,87,94,0
5099,101,108,0
450,45,52,0
450,87,94,0
450,101,108,0
4429,45,52,0
4429,87,94,0
4429,101,108,0
1181,13,20,0
1181,55,62,0
1181,69,76,0
2921,45,52,0
2921,87,94,0
2921,101,108,0
90,45,52,0
90,87,94,0
90,101,108,0
1465,45,52,0
1465,87,94,0
1465,101,108,0
2794,13,20,0
2794,55,62,0
2794,69,76,0
885,45,52,0
885,87,94,0
885,101,108,0
1331,45,52,0
1331,87,94,0
1331,101,108,0
1262,45,52,0
1262,87,94,0
1262,101,108,0
1789,45,52,0
1789,87,94,0
1789,101,108,0
