seq_index,start_position,end_position,is_reversed_complement
4583,54,60,0
4583,68,74,0
4583,126,132,0
969,59,65,0
969,73,79,0
969,131,137,0
3358,66,72,0
3358,80,86,0
3358,138,144,0
3358,56,62,0
3358,70,76,0
3358,128,134,0
5154,42,48,0
5154,56,62,0
5154,114,120,0
3970,22,28,0
3970,36,42,0
3970,94,100,0
5622,60,66,0
5622,74,80,0
5622,132,138,0
2406,43,49,0
2406,57,63,0
2406,115,121,0
5625,66,72,0
5625,80,86,0
5625,138,144,0
1852,43,49,0
1852,57,63,0
1852,115,121,0
3832,38,44,0
3832,52,58,0
3832,110,116,0
4183,20,26,0
4183,34,40,0
4183,92,98,0
4334,47,53,0
4334,61,67,0
4334,119,125,0
4172,33,39,0
4172,47,53,0
4172,105,111,0
538,35,41,0
538,49,55,0
538,107,113,0
4451,11,17,0
4451,25,31,0
4451,83,89,0
2546,27,33,0
2546,41,47,0
2546,99,105,0
4134,38,44,0
4134,52,58,0
4134,110,116,0
3362,43,49,0
3362,57,63,0
3362,115,121,0
3251,53,59,0
3251,67,73,0
3251,125,131,0
231,51,57,0
231,65,71,0
231,123,129,0
905,23,29,0
905,37,43,0
905,95,101,0
5663,31,37,0
5663,45,51,0
5663,103,109,0
3610,65,71,0
3610,79,85,0
3610,137,143,0
1552,20,26,0
1552,34,40,0
1552,92,98,0
5769,72,78,0
5769,86,92,0
5769,144,150,0
3795,71,77,0
3795,85,91,0
3795,143,149,0
809,64,70,0
809,78,84,0
809,136,142,0
5083,15,21,0
5083,29,35,0
5083,87,93,0
3770,50,56,0
3770,64,70,0
3770,122,128,0
4692,35,41,0
4692,49,55,0
4692,107,113,0
3322,63,69,0
3322,77,83,0
3322,135,141,0
5011,61,67,0
5011,75,81,0
5011,133,139,0
557,56,62,0
557,70,76,0
557,128,134,0
2154,51,57,0
2154,65,71,0
2154,123,129,0
3724,66,72,0
3724,80,86,0
3724,138,144,0
2499,23,29,0
2499,37,43,0
2499,95,101,0
5285,70,76,0
5285,84,90,0
5285,142,148,0
4,18,24,0
4,32,38,0
4,90,96,0
1684,57,63,0
1684,71,77,0
1684,129,135,0
4425,32,38,0
4425,46,52,0
4425,104,110,0
109,59,65,0
109,73,79,0
109,131,137,0
4674,57,63,0
4674,71,77,0
4674,129,135,0
2460,53,59,0
2460,67,73,0
2460,125,131,0
5233,71,77,0
5233,85,91,0
5233,143,149,0
3878,63,69,0
3878,77,83,0
3878,135,141,0
726,42,48,0
726,56,62,0
726,114,120,0
938,68,74,0
938,82,88,0
938,140,146,0
5098,60,66,0
5098,74,80,0
5098,132,138,0
3070,13,19,0
3070,27,33,0
3070,85,91,0
4192,64,70,0
4192,78,84,0
4192,136,142,0
2045,22,28,0
2045,36,42,0
2045,94,100,0
1122,61,67,0
1122,75,81,0
1122,133,139,0
1139,50,56,0
1139,64,70,0
1139,122,128,0
608,62,68,0
608,76,82,0
608,134,140,0
608,56,62,0
608,70,76,0
608,128,134,0
2001,6,12,0
2001,20,26,0
2001,78,84,0
2793,71,77,0
2793,85,91,0
2793,143,149,0
720,18,24,0
720,32,38,0
720,90,96,0
5878,53,59,0
5878,67,73,0
5878,125,131,0
1974,22,28,0
1974,36,42,0
1974,94,100,0
1501,43,49,0
1501,57,63,0
1501,115,121,0
2816,62,68,0
2816,76,82,0
2816,134,140,0
2069,61,67,0
2069,75,81,0
2069,133,139,0
