seq_index,start_position,end_position,is_reversed_complement
3116,23,32,0
3116,80,89,0
3116,98,107,0
3743,23,32,0
3743,80,89,0
3743,98,107,0
5915,23,32,0
5915,80,89,0
5915,98,107,0
4505,56,65,0
4505,113,122,0
4505,131,140,0
1561,23,32,0
1561,80,89,0
1561,98,107,0
3341,12,21,0
3341,69,78,0
3341,87,96,0
1339,23,32,0
1339,80,89,0
1339,98,107,0
4046,40,49,0
4046,97,106,0
4046,115,124,0
1530,23,32,0
1530,80,89,0
1530,98,107,0
4384,23,32,0
4384,80,89,0
4384,98,107,0
1288,23,32,0
1288,80,89,0
1288,98,107,0
75,23,32,0
75,80,89,0
75,98,107,0
5636,23,32,0
5636,80,89,0
5636,98,107,0
4882,56,65,0
4882,113,122,0
4882,131,140,0
811,23,32,0
811,80,89,0
811,98,107,0
4436,23,32,0
4436,80,89,0
4436,98,107,0
4133,23,32,0
4133,80,89,0
4133,98,107,0
1967,23,32,0
1967,80,89,0
1967,98,107,0
5958,23,32,0
5958,80,89,0
5958,98,107,0
4891,23,32,0
4891,80,89,0
4891,98,107,0
2620,23,32,0
2620,80,89,0
2620,98,107,0
923,23,32,0
923,80,89,0
923,98,107,0
4995,23,32,0
4995,80,89,0
4995,98,107,0
3933,23,32,0
3933,80,89,0
3933,98,107,0
2052,23,32,0
2052,80,89,0
2052,98,107,0
