seq_index,start_position,end_position,is_reversed_complement
4266,46,53,0
4266,85,92,0
4266,106,113,0
301,46,53,0
301,85,92,0
301,106,113,0
4943,46,53,0
4943,85,92,0
4943,106,113,0
1119,46,53,0
1119,85,92,0
1119,106,113,0
219,46,53,0
219,85,92,0
219,106,113,0
5794,46,53,0
5794,85,92,0
5794,106,113,0
4225,34,41,0
4225,73,80,0
4225,94,101,0
3486,46,53,0
3486,85,92,0
3486,106,113,0
5475,46,53,0
5475,85,92,0
5475,106,113,0
2797,46,53,0
2797,85,92,0
2797,106,113,0
829,46,53,0
829,85,92,0
829,106,113,0
6043,46,53,0
6043,85,92,0
6043,106,113,0
4301,27,34,0
4301,66,73,0
4301,87,94,0
1834,46,53,0
1834,85,92,0
1834,106,113,0
5969,46,53,0
5969,85,92,0
5969,106,113,0
2202,46,53,0
2202,85,92,0
2202,106,113,0
1974,46,53,0
1974,85,92,0
1974,106,113,0
