seq_index,start_position,end_position,is_reversed_complement
4985,20,25,0
7328,53,58,0
7328,57,62,0
7328,41,46,0
7328,13,18,0
7328,18,23,0
4699,73,78,0
4575,40,45,0
4575,53,58,0
7143,31,36,0
7143,53,58,0
7143,73,78,0
6072,74,79,0
1955,52,57,0
2349,31,36,0
7684,57,62,0
3405,64,69,0
3405,30,35,0
3405,59,64,0
3405,61,66,0
2840,38,43,0
2840,40,45,0
2840,54,59,0
2875,67,72,0
686,52,57,0
1089,63,68,0
1089,64,69,0
1089,44,49,0
1089,59,64,0
1089,16,21,0
184,23,28,0
184,74,79,0
184,72,77,0
184,39,44,0
184,49,54,0
184,26,31,0
3219,48,53,0
4887,26,31,0
421,65,70,0
1265,58,63,0
1265,19,24,0
1265,26,31,0
1265,22,27,0
7343,43,48,0
7343,65,70,0
182,31,36,0
182,15,20,0
182,35,40,0
7450,32,37,0
7450,30,35,0
1822,63,68,0
1822,55,60,0
1822,41,46,0
1822,56,61,0
6651,34,39,0
6651,9,14,0
6651,8,13,0
6651,36,41,0
6651,22,27,0
4029,76,81,0
550,15,20,0
550,14,19,0
5434,21,26,0
5434,23,28,0
5434,16,21,0
3297,44,49,0
3297,27,32,0
6705,14,19,0
6705,13,18,0
3645,58,63,0
3645,47,52,0
3718,14,19,0
3854,46,51,0
4583,64,69,0
4583,35,40,0
729,33,38,0
3162,57,62,0
3162,49,54,0
3162,9,14,0
7214,71,76,0
1049,34,39,0
1049,70,75,0
1275,31,36,0
1275,20,25,0
1275,8,13,0
1275,53,58,0
7198,33,38,0
7198,66,71,0
801,58,63,0
4356,41,46,0
4356,74,79,0
6585,57,62,0
6585,35,40,0
6585,38,43,0
6585,60,65,0
6585,39,44,0
6585,41,46,0
102,37,42,0
102,29,34,0
843,32,37,0
525,20,25,0
525,17,22,0
525,27,32,0
4737,38,43,0
4737,67,72,0
4737,41,46,0
4737,65,70,0
58,55,60,0
58,42,47,0
5639,71,76,0
6689,58,63,0
6689,49,54,0
1170,21,26,0
1170,19,24,0
2449,38,43,0
365,51,56,0
365,72,77,0
1101,42,47,0
1101,8,13,0
4526,64,69,0
4526,65,70,0
1387,44,49,0
1387,25,30,0
1387,27,32,0
2745,72,77,0
2745,74,79,0
78,31,36,0
78,34,39,0
78,65,70,0
3291,54,59,0
3291,26,31,0
4237,19,24,0
3650,28,33,0
3650,24,29,0
3650,54,59,0
3650,27,32,0
3650,36,41,0
3650,47,52,0
6802,42,47,0
6802,41,46,0
6802,75,80,0
7653,21,26,0
7653,19,24,0
2919,38,43,0
6974,14,19,0
6974,30,35,0
7437,65,70,0
7437,75,80,0
6776,63,68,0
6776,37,42,0
6776,61,66,0
5377,50,55,0
5377,46,51,0
5377,54,59,0
5377,53,58,0
5377,56,61,0
5000,74,79,0
5000,22,27,0
5000,48,53,0
5000,73,78,0
6818,60,65,0
6818,44,49,0
6818,9,14,0
6818,51,56,0
6818,72,77,0
6818,7,12,0
5857,48,53,0
5857,66,71,0
5857,63,68,0
5857,47,52,0
5857,58,63,0
5857,49,54,0
5857,69,74,0
5857,17,22,0
7168,55,60,0
7168,54,59,0
7168,23,28,0
7168,21,26,0
7168,68,73,0
7168,75,80,0
7168,61,66,0
7709,29,34,0
7709,74,79,0
7709,21,26,0
7709,46,51,0
7709,73,78,0
7709,28,33,0
7709,49,54,0
731,58,63,0
731,44,49,0
731,72,77,0
6514,59,64,0
7606,28,33,0
7606,73,78,0
7559,19,24,0
7559,68,73,0
7559,65,70,0
3569,69,74,0
3569,66,71,0
3569,67,72,0
1895,29,34,0
5034,61,66,0
5034,47,52,0
4168,55,60,0
4168,15,20,0
4168,57,62,0
6172,75,80,0
6172,47,52,0
3287,68,73,0
3287,70,75,0
5977,56,61,0
7291,60,65,0
5822,7,12,0
2085,18,23,0
2085,21,26,0
