seq_index,start_position,end_position,is_reversed_complement
4985,51,57,0
4985,75,81,0
4699,75,81,0
4699,99,105,0
4029,100,106,0
4029,124,130,0
1170,51,57,0
1170,75,81,0
731,36,42,0
731,60,66,0
731,124,130,0
731,148,154,0
1768,111,117,0
1768,135,141,0
1373,51,57,0
1373,75,81,0
936,75,81,0
936,99,105,0
4802,73,79,0
4802,97,103,0
4802,49,55,0
4802,73,79,0
1844,88,94,0
1844,112,118,0
5565,51,57,0
5565,75,81,0
5565,75,81,0
5565,99,105,0
1669,113,119,0
1669,137,143,0
1669,88,94,0
1669,112,118,0
1669,89,95,0
1669,113,119,0
2712,71,77,0
2712,95,101,0
1069,7,13,0
1069,31,37,0
4922,74,80,0
4922,98,104,0
4922,95,101,0
4922,119,125,0
5320,7,13,0
5320,31,37,0
2441,49,55,0
2441,73,79,0
1231,72,78,0
1231,96,102,0
1231,75,81,0
1231,99,105,0
2238,101,107,0
2238,125,131,0
4952,4,10,0
4952,28,34,0
5304,7,13,0
5304,31,37,0
4044,85,91,0
4044,109,115,0
3339,105,111,0
3339,129,135,0
2387,51,57,0
2387,75,81,0
3379,51,57,0
3379,75,81,0
5070,67,73,0
5070,91,97,0
5070,45,51,0
5070,69,75,0
2926,106,112,0
2926,130,136,0
4353,124,130,0
4353,148,154,0
2895,51,57,0
2895,75,81,0
5750,51,57,0
5750,75,81,0
5750,102,108,0
5750,126,132,0
5725,51,57,0
5725,75,81,0
663,97,103,0
663,121,127,0
3970,72,78,0
3970,96,102,0
5622,91,97,0
5622,115,121,0
2603,32,38,0
2603,56,62,0
1392,128,134,0
1392,152,158,0
1580,41,47,0
1580,65,71,0
4593,40,46,0
4593,64,70,0
5989,22,28,0
5989,46,52,0
5989,45,51,0
5989,69,75,0
5035,119,125,0
5035,143,149,0
1700,51,57,0
1700,75,81,0
1700,16,22,0
1700,40,46,0
1700,75,81,0
1700,99,105,0
3159,124,130,0
3159,148,154,0
6041,40,46,0
6041,64,70,0
4428,14,20,0
4428,38,44,0
5343,75,81,0
5343,99,105,0
3327,109,115,0
3327,133,139,0
6126,116,122,0
6126,140,146,0
1012,74,80,0
1012,98,104,0
4071,30,36,0
4071,54,60,0
1002,51,57,0
1002,75,81,0
1177,72,78,0
1177,96,102,0
2099,51,57,0
2099,75,81,0
1566,106,112,0
1566,130,136,0
3184,51,57,0
3184,75,81,0
4166,91,97,0
4166,115,121,0
4025,39,45,0
4025,63,69,0
263,113,119,0
263,137,143,0
4369,37,43,0
4369,61,67,0
2837,104,110,0
2837,128,134,0
4727,51,57,0
4727,75,81,0
3223,43,49,0
3223,67,73,0
782,49,55,0
782,73,79,0
4202,46,52,0
4202,70,76,0
3991,72,78,0
3991,96,102,0
5152,121,127,0
5152,145,151,0
1017,132,138,0
1017,156,162,0
781,51,57,0
781,75,81,0
781,75,81,0
781,99,105,0
2430,51,57,0
2430,75,81,0
4257,26,32,0
4257,50,56,0
1056,67,73,0
1056,91,97,0
947,61,67,0
947,85,91,0
3087,51,57,0
3087,75,81,0
1557,97,103,0
1557,121,127,0
5696,7,13,0
5696,31,37,0
1399,37,43,0
1399,61,67,0
5234,100,106,0
5234,124,130,0
3305,75,81,0
3305,99,105,0
5740,101,107,0
5740,125,131,0
985,10,16,0
985,34,40,0
602,51,57,0
602,75,81,0
2355,100,106,0
2355,124,130,0
3253,100,106,0
3253,124,130,0
4638,25,31,0
4638,49,55,0
3262,98,104,0
3262,122,128,0
803,102,108,0
803,126,132,0
5431,13,19,0
5431,37,43,0
175,72,78,0
175,96,102,0
175,105,111,0
175,129,135,0
866,51,57,0
866,75,81,0
866,75,81,0
866,99,105,0
1418,124,130,0
1418,148,154,0
1591,99,105,0
1591,123,129,0
2223,110,116,0
2223,134,140,0
5370,51,57,0
5370,75,81,0
5214,75,81,0
5214,99,105,0
3084,51,57,0
3084,75,81,0
5398,48,54,0
5398,72,78,0
3673,75,81,0
3673,99,105,0
2899,50,56,0
2899,74,80,0
3988,75,81,0
3988,99,105,0
5062,75,81,0
5062,99,105,0
2005,71,77,0
2005,95,101,0
3591,35,41,0
3591,59,65,0
5061,75,81,0
5061,99,105,0
5061,103,109,0
5061,127,133,0
1915,68,74,0
1915,92,98,0
1807,51,57,0
1807,75,81,0
1156,75,81,0
1156,99,105,0
2764,18,24,0
2764,42,48,0
2764,72,78,0
2764,96,102,0
2764,75,81,0
2764,99,105,0
5933,72,78,0
5933,96,102,0
539,108,114,0
539,132,138,0
539,75,81,0
539,99,105,0
2121,37,43,0
2121,61,67,0
6084,111,117,0
6084,135,141,0
1312,37,43,0
1312,61,67,0
2995,72,78,0
2995,96,102,0
644,100,106,0
644,124,130,0
1565,17,23,0
1565,41,47,0
5372,75,81,0
5372,99,105,0
5427,48,54,0
5427,72,78,0
4162,101,107,0
4162,125,131,0
1354,69,75,0
1354,93,99,0
2272,51,57,0
2272,75,81,0
3657,51,57,0
3657,75,81,0
1542,19,25,0
1542,43,49,0
424,26,32,0
424,50,56,0
825,75,81,0
825,99,105,0
1590,51,57,0
1590,75,81,0
516,113,119,0
516,137,143,0
1026,46,52,0
1026,70,76,0
1382,37,43,0
1382,61,67,0
1382,95,101,0
1382,119,125,0
2410,61,67,0
2410,85,91,0
3820,100,106,0
3820,124,130,0
2212,16,22,0
2212,40,46,0
5698,36,42,0
5698,60,66,0
5698,12,18,0
5698,36,42,0
3606,46,52,0
3606,70,76,0
5506,71,77,0
5506,95,101,0
487,75,81,0
487,99,105,0
1623,99,105,0
1623,123,129,0
1224,106,112,0
1224,130,136,0
4461,48,54,0
4461,72,78,0
4619,7,13,0
4619,31,37,0
6133,18,24,0
6133,42,48,0
4395,117,123,0
4395,141,147,0
1695,75,81,0
1695,99,105,0
1695,99,105,0
1695,123,129,0
5173,18,24,0
5173,42,48,0
1736,94,100,0
1736,118,124,0
1736,75,81,0
1736,99,105,0
4959,67,73,0
4959,91,97,0
1444,12,18,0
1444,36,42,0
1083,100,106,0
1083,124,130,0
4460,13,19,0
4460,37,43,0
2928,7,13,0
2928,31,37,0
2983,72,78,0
2983,96,102,0
498,51,57,0
498,75,81,0
498,75,81,0
498,99,105,0
5238,75,81,0
5238,99,105,0
4910,75,81,0
4910,99,105,0
4923,51,57,0
4923,75,81,0
1236,51,57,0
1236,75,81,0
1689,75,81,0
1689,99,105,0
1689,106,112,0
1689,130,136,0
236,100,106,0
236,124,130,0
5500,51,57,0
5500,75,81,0
1913,102,108,0
1913,126,132,0
1913,126,132,0
1913,150,156,0
4949,51,57,0
4949,75,81,0
4509,72,78,0
4509,96,102,0
1022,100,106,0
1022,124,130,0
2773,115,121,0
2773,139,145,0
2792,99,105,0
2792,123,129,0
5773,41,47,0
5773,65,71,0
306,51,57,0
306,75,81,0
199,122,128,0
199,146,152,0
932,51,57,0
932,75,81,0
2868,42,48,0
2868,66,72,0
3399,11,17,0
3399,35,41,0
5494,75,81,0
5494,99,105,0
5369,113,119,0
5369,137,143,0
2588,72,78,0
2588,96,102,0
2867,6,12,0
2867,30,36,0
3209,39,45,0
3209,63,69,0
4535,100,106,0
4535,124,130,0
1279,51,57,0
1279,75,81,0
1279,48,54,0
1279,72,78,0
4907,51,57,0
4907,75,81,0
4907,74,80,0
4907,98,104,0
5934,27,33,0
5934,51,57,0
5207,96,102,0
5207,120,126,0
603,51,57,0
603,75,81,0
450,51,57,0
450,75,81,0
450,92,98,0
450,116,122,0
2720,91,97,0
2720,115,121,0
2720,118,124,0
2720,142,148,0
2720,115,121,0
2720,139,145,0
398,72,78,0
398,96,102,0
1135,100,106,0
1135,124,130,0
1928,117,123,0
1928,141,147,0
4724,32,38,0
4724,56,62,0
3004,88,94,0
3004,112,118,0
2087,75,81,0
2087,99,105,0
4031,39,45,0
4031,63,69,0
896,51,57,0
896,75,81,0
2804,13,19,0
2804,37,43,0
5259,18,24,0
5259,42,48,0
4073,51,57,0
4073,75,81,0
4073,75,81,0
4073,99,105,0
1887,95,101,0
1887,119,125,0
325,72,78,0
325,96,102,0
325,51,57,0
325,75,81,0
3215,43,49,0
3215,67,73,0
2107,51,57,0
2107,75,81,0
3913,75,81,0
3913,99,105,0
4810,42,48,0
4810,66,72,0
917,51,57,0
917,75,81,0
4547,100,106,0
4547,124,130,0
1074,51,57,0
1074,75,81,0
3721,72,78,0
3721,96,102,0
2240,90,96,0
2240,114,120,0
4681,75,81,0
4681,99,105,0
2206,115,121,0
2206,139,145,0
1810,51,57,0
1810,75,81,0
1940,94,100,0
1940,118,124,0
5689,51,57,0
5689,75,81,0
1136,115,121,0
1136,139,145,0
2627,51,57,0
2627,75,81,0
1613,117,123,0
1613,141,147,0
323,66,72,0
323,90,96,0
5831,75,81,0
5831,99,105,0
3155,118,124,0
3155,142,148,0
2996,75,81,0
2996,99,105,0
2129,14,20,0
2129,38,44,0
4498,51,57,0
4498,75,81,0
3831,29,35,0
3831,53,59,0
2858,75,81,0
2858,99,105,0
3879,36,42,0
3879,60,66,0
5247,50,56,0
5247,74,80,0
65,51,57,0
65,75,81,0
5949,108,114,0
5949,132,138,0
2766,72,78,0
2766,96,102,0
5786,32,38,0
5786,56,62,0
4601,23,29,0
4601,47,53,0
1336,116,122,0
1336,140,146,0
1336,50,56,0
1336,74,80,0
2716,102,108,0
2716,126,132,0
2716,100,106,0
2716,124,130,0
2281,51,57,0
2281,75,81,0
4853,106,112,0
4853,130,136,0
379,51,57,0
379,75,81,0
3397,75,81,0
3397,99,105,0
2964,50,56,0
2964,74,80,0
551,72,78,0
551,96,102,0
