seq_index,start_position,end_position,is_reversed_complement
4985,66,72,0
4985,110,116,0
4985,10,16,0
4985,83,89,0
4985,94,100,0
4985,102,108,0
4985,92,98,0
4985,143,149,0
4985,126,132,0
4985,139,145,0
4985,18,24,0
4985,20,26,0
4985,128,134,0
4985,36,42,0
4985,88,94,0
4699,61,67,0
4699,57,63,0
4699,68,74,0
4699,118,124,0
4699,115,121,0
4699,140,146,0
4699,127,133,0
4699,112,118,0
4575,114,120,0
4575,111,117,0
4575,11,17,0
4575,22,28,0
4575,67,73,0
4575,9,15,0
4575,126,132,0
4575,56,62,0
2287,113,119,0
2287,117,123,0
2287,115,121,0
2287,120,126,0
2287,50,56,0
1702,19,25,0
1702,140,146,0
1702,125,131,0
1702,130,136,0
1955,82,88,0
1955,62,68,0
1955,20,26,0
1955,17,23,0
1955,9,15,0
1955,41,47,0
2349,51,57,0
2349,53,59,0
2349,20,26,0
2349,17,23,0
3405,109,115,0
3405,107,113,0
2840,51,57,0
2840,134,140,0
2840,98,104,0
2840,105,111,0
2840,60,66,0
2840,102,108,0
2840,49,55,0
2840,119,125,0
2875,135,141,0
2875,10,16,0
2875,117,123,0
2875,124,130,0
2875,76,82,0
2875,9,15,0
2875,18,24,0
2875,60,66,0
2875,16,22,0
2875,82,88,0
2875,13,19,0
2875,79,85,0
2875,64,70,0
2875,141,147,0
686,88,94,0
686,124,130,0
686,6,12,0
686,90,96,0
686,119,125,0
1089,18,24,0
1089,120,126,0
1089,118,124,0
1089,94,100,0
2014,113,119,0
2014,31,37,0
2014,116,122,0
2014,10,16,0
2014,84,90,0
2014,94,100,0
2014,75,81,0
2014,126,132,0
2014,48,54,0
184,120,126,0
184,105,111,0
184,33,39,0
184,133,139,0
3292,113,119,0
3292,62,68,0
3292,121,127,0
3292,110,116,0
3292,42,48,0
3292,76,82,0
3292,92,98,0
3292,58,64,0
3292,17,23,0
3292,19,25,0
3292,101,107,0
3292,16,22,0
3292,46,52,0
3292,50,56,0
3292,133,139,0
1703,97,103,0
1703,17,23,0
1703,30,36,0
1703,93,99,0
4887,77,83,0
4887,42,48,0
4887,2,8,0
4887,85,91,0
4887,126,132,0
3219,66,72,0
3219,114,120,0
3219,110,116,0
3219,22,28,0
3219,35,41,0
3219,19,25,0
3219,134,140,0
3219,77,83,0
