seq_index,start_position,end_position,is_reversed_complement
3219,36,46,0
3219,91,101,0
13050,32,42,0
13050,87,97,0
5278,56,66,0
5278,111,121,0
8475,82,92,0
8475,137,147,0
11821,57,67,0
11821,112,122,0
12740,49,59,0
12740,104,114,0
8633,4,14,0
8633,59,69,0
1017,27,37,0
1017,82,92,0
1017,73,83,0
1017,128,138,0
9411,38,48,0
9411,93,103,0
3520,71,81,0
3520,126,136,0
11432,88,98,0
11432,143,153,0
7539,14,24,0
7539,69,79,0
2947,94,104,0
2947,149,159,0
4380,54,64,0
4380,109,119,0
9409,69,79,0
9409,124,134,0
3508,48,58,0
3508,103,113,0
7984,87,97,0
7984,142,152,0
12639,33,43,0
12639,88,98,0
1644,84,94,0
1644,139,149,0
8623,29,39,0
8623,84,94,0
11799,83,93,0
11799,138,148,0
13311,62,72,0
13311,117,127,0
10837,75,85,0
10837,130,140,0
5887,7,17,0
5887,62,72,0
13101,70,80,0
13101,125,135,0
1966,83,93,0
1966,138,148,0
3687,39,49,0
3687,94,104,0
12029,88,98,0
12029,143,153,0
1225,79,89,0
1225,134,144,0
3272,54,64,0
3272,109,119,0
9214,30,40,0
9214,85,95,0
6767,81,91,0
6767,136,146,0
7854,49,59,0
7854,104,114,0
13703,33,43,0
13703,88,98,0
9065,27,37,0
9065,82,92,0
2738,11,21,0
2738,66,76,0
6921,60,70,0
6921,115,125,0
5909,83,93,0
5909,138,148,0
1213,25,35,0
1213,80,90,0
10748,88,98,0
10748,143,153,0
10528,71,81,0
10528,126,136,0
13518,24,34,0
13518,79,89,0
826,69,79,0
826,124,134,0
12853,67,77,0
12853,122,132,0
2524,18,28,0
2524,73,83,0
2346,61,71,0
2346,116,126,0
12096,68,78,0
12096,123,133,0
10269,67,77,0
10269,122,132,0
4274,41,51,0
4274,96,106,0
7326,82,92,0
7326,137,147,0
7967,27,37,0
7967,82,92,0
12260,64,74,0
12260,119,129,0
5616,50,60,0
5616,105,115,0
1242,76,86,0
1242,131,141,0
13100,72,82,0
13100,127,137,0
11397,71,81,0
11397,126,136,0
11530,38,48,0
11530,93,103,0
4689,46,56,0
4689,101,111,0
12420,63,73,0
12420,118,128,0
11325,92,102,0
11325,147,157,0
10004,31,41,0
10004,86,96,0
12684,95,105,0
12684,150,160,0
6672,69,79,0
6672,124,134,0
1553,75,85,0
1553,130,140,0
5313,37,47,0
5313,92,102,0
8435,67,77,0
8435,122,132,0
4993,35,45,0
4993,90,100,0
11988,66,76,0
11988,121,131,0
6110,74,84,0
6110,129,139,0
10187,64,74,0
10187,119,129,0
13344,81,91,0
13344,136,146,0
4479,74,84,0
4479,129,139,0
7697,58,68,0
7697,113,123,0
9559,76,86,0
9559,131,141,0
5709,71,81,0
5709,126,136,0
7806,32,42,0
7806,87,97,0
12986,29,39,0
12986,84,94,0
13365,62,72,0
13365,117,127,0
11468,76,86,0
11468,131,141,0
1973,13,23,0
1973,68,78,0
2548,61,71,0
