seq_index,start_position,end_position,is_reversed_complement
11949,134,144,0
11949,16,26,0
7684,71,81,0
7684,33,43,0
7684,49,59,0
3405,87,97,0
1089,110,120,0
1089,82,92,0
1089,79,89,0
1089,103,113,0
11279,54,64,0
11279,22,32,0
8059,15,25,0
8059,11,21,0
8059,91,101,0
8059,119,129,0
8059,99,109,0
8659,130,140,0
8659,114,124,0
8659,47,57,0
3854,82,92,0
3162,102,112,0
9522,13,23,0
12796,77,87,0
12796,78,88,0
12796,81,91,0
12796,65,75,0
9265,104,114,0
9265,36,46,0
9265,67,77,0
9265,101,111,0
4737,90,100,0
58,74,84,0
58,124,134,0
1170,122,132,0
1170,23,33,0
9328,44,54,0
11024,84,94,0
6802,85,95,0
7653,67,77,0
7653,84,94,0
2919,28,38,0
2919,47,57,0
2782,14,24,0
5857,133,143,0
11924,141,151,0
1895,27,37,0
7291,66,76,0
7291,114,124,0
7291,69,79,0
7291,87,97,0
5977,61,71,0
8917,22,32,0
8917,72,82,0
8917,129,139,0
8917,60,70,0
8917,94,104,0
8917,95,105,0
8917,75,85,0
1525,13,23,0
435,32,42,0
11844,17,27,0
11844,127,137,0
4950,74,84,0
1373,77,87,0
1373,59,69,0
1373,136,146,0
1373,30,40,0
1373,69,79,0
1373,139,149,0
1373,133,143,0
9317,121,131,0
9317,71,81,0
10260,31,41,0
10260,28,38,0
10260,126,136,0
3088,113,123,0
2203,73,83,0
2203,105,115,0
2203,128,138,0
2203,99,109,0
12177,112,122,0
12177,9,19,0
12177,13,23,0
12634,31,41,0
12634,114,124,0
8914,139,149,0
11909,36,46,0
10278,78,88,0
10278,122,132,0
10278,140,150,0
10278,136,146,0
10278,46,56,0
10278,60,70,0
10278,125,135,0
10278,85,95,0
8297,119,129,0
8297,115,125,0
3139,78,88,0
3139,80,90,0
3139,59,69,0
3139,43,53,0
3139,75,85,0
10407,51,61,0
3791,116,126,0
3791,92,102,0
6542,71,81,0
6542,29,39,0
6542,68,78,0
6542,41,51,0
11645,81,91,0
11645,47,57,0
10838,8,18,0
10838,53,63,0
10838,96,106,0
10838,86,96,0
3051,33,43,0
10773,37,47,0
4922,72,82,0
3876,43,53,0
3876,94,104,0
3876,37,47,0
2747,13,23,0
8494,88,98,0
8494,128,138,0
6234,122,132,0
10894,19,29,0
10894,31,41,0
10894,105,115,0
10894,49,59,0
4642,15,25,0
4642,103,113,0
4642,100,110,0
3091,123,133,0
9901,144,154,0
9901,103,113,0
9901,81,91,0
4104,88,98,0
4725,137,147,0
7646,82,92,0
7646,115,125,0
907,72,82,0
907,81,91,0
907,79,89,0
6269,103,113,0
13631,136,146,0
12926,22,32,0
12926,135,145,0
12926,138,148,0
12926,128,138,0
13523,56,66,0
11430,98,108,0
11430,101,111,0
8519,97,107,0
315,110,120,0
4188,49,59,0
4188,12,22,0
355,73,83,0
355,28,38,0
355,37,47,0
355,25,35,0
486,40,50,0
4116,113,123,0
4116,23,33,0
4116,60,70,0
4116,9,19,0
8835,122,132,0
5810,39,49,0
6288,114,124,0
6288,38,48,0
7875,49,59,0
7875,96,106,0
7875,143,153,0
7875,141,151,0
10697,72,82,0
10697,18,28,0
4605,27,37,0
6168,44,54,0
6168,115,125,0
6168,139,149,0
5910,57,67,0
5910,110,120,0
5910,22,32,0
5910,120,130,0
5910,72,82,0
5910,84,94,0
5910,107,117,0
5910,45,55,0
5910,65,75,0
5910,25,35,0
13681,105,115,0
5201,71,81,0
5201,100,110,0
4002,98,108,0
8177,116,126,0
8177,25,35,0
4442,63,73,0
4442,124,134,0
4442,39,49,0
13151,82,92,0
13151,44,54,0
6866,126,136,0
6897,20,30,0
6897,17,27,0
8295,10,20,0
7583,77,87,0
7583,10,20,0
7583,72,82,0
13085,140,150,0
13085,52,62,0
13085,114,124,0
13085,117,127,0
13085,83,93,0
13085,75,85,0
13085,39,49,0
13085,86,96,0
3916,122,132,0
304,77,87,0
304,31,41,0
304,28,38,0
304,20,30,0
6989,115,125,0
7753,78,88,0
7753,43,53,0
7753,84,94,0
7753,119,129,0
6485,136,146,0
6485,22,32,0
6485,21,31,0
6485,35,45,0
6485,79,89,0
6485,63,73,0
