seq_index,start_position,end_position,is_reversed_complement
4985,103,109,0
4985,143,149,0
4985,43,49,0
4985,83,89,0
4699,75,81,0
4699,115,121,0
2014,8,14,0
2014,48,54,0
5434,44,50,0
5434,84,90,0
3297,60,66,0
3297,100,106,0
3297,94,100,0
3297,134,140,0
3645,9,15,0
3645,49,55,0
3854,74,80,0
3854,114,120,0
4583,52,58,0
4583,92,98,0
1049,38,44,0
1049,78,84,0
4737,68,74,0
4737,108,114,0
3650,56,62,0
3650,96,102,0
5377,22,28,0
5377,62,68,0
1895,84,90,0
1895,124,130,0
4168,90,96,0
4168,130,136,0
1525,86,92,0
1525,126,132,0
435,89,95,0
435,129,135,0
2774,102,108,0
2774,142,148,0
4782,73,79,0
4782,113,119,0
4279,88,94,0
4279,128,134,0
144,91,97,0
144,131,137,0
969,16,22,0
969,56,62,0
4917,18,24,0
4917,58,64,0
895,56,62,0
895,96,102,0
586,12,18,0
586,52,58,0
3139,63,69,0
3139,103,109,0
4755,14,20,0
4755,54,60,0
2420,69,75,0
2420,109,115,0
411,78,84,0
411,118,124,0
5009,73,79,0
5009,113,119,0
2478,74,80,0
2478,114,120,0
907,99,105,0
907,139,145,0
4756,60,66,0
4756,100,106,0
1636,63,69,0
1636,103,109,0
1636,101,107,0
1636,141,147,0
4952,20,26,0
4952,60,66,0
2356,95,101,0
2356,135,141,0
1457,44,50,0
1457,84,90,0
1713,22,28,0
1713,62,68,0
4044,9,15,0
4044,49,55,0
4771,44,50,0
4771,84,90,0
5729,96,102,0
5729,136,142,0
3772,12,18,0
3772,52,58,0
734,18,24,0
734,58,64,0
4609,95,101,0
4609,135,141,0
2671,83,89,0
2671,123,129,0
1063,36,42,0
1063,76,82,0
1063,90,96,0
1063,130,136,0
5815,79,85,0
5815,119,125,0
3437,93,99,0
3437,133,139,0
4266,92,98,0
4266,132,138,0
3970,51,57,0
3970,91,97,0
130,100,106,0
130,140,146,0
4379,87,93,0
4379,127,133,0
2603,70,76,0
2603,110,116,0
1441,41,47,0
1441,81,87,0
2584,82,88,0
2584,122,128,0
2122,72,78,0
2122,112,118,0
