seq_index,start_position,end_position,is_reversed_complement
4985,60,69,0
4985,66,75,0
4985,122,131,0
4985,71,80,0
4985,70,79,0
4699,10,19,0
4699,123,132,0
4699,131,140,0
4699,139,148,0
4575,123,132,0
4575,126,135,0
4575,147,156,0
6072,139,148,0
2287,19,28,0
2287,109,118,0
2287,13,22,0
2287,106,115,0
2287,70,79,0
1702,94,103,0
1702,68,77,0
1702,56,65,0
1955,51,60,0
5974,43,52,0
5974,57,66,0
2840,121,130,0
2840,123,132,0
2875,48,57,0
686,136,145,0
686,145,154,0
686,70,79,0
184,30,39,0
184,126,135,0
184,115,124,0
184,118,127,0
1089,122,131,0
1089,128,137,0
2014,118,127,0
3292,125,134,0
1703,149,158,0
3219,109,118,0
3219,35,44,0
3219,75,84,0
421,23,32,0
1822,93,102,0
1822,43,52,0
1822,39,48,0
4029,145,154,0
4029,60,69,0
4029,106,115,0
4029,89,98,0
4029,37,46,0
4029,25,34,0
550,134,143,0
550,124,133,0
3323,104,113,0
3323,132,141,0
5434,94,103,0
5434,67,76,0
5434,125,134,0
3718,102,111,0
3718,18,27,0
3854,109,118,0
3854,123,132,0
636,121,130,0
729,70,79,0
3162,44,53,0
3162,131,140,0
1049,14,23,0
1049,100,109,0
1275,17,26,0
801,23,32,0
801,43,52,0
801,131,140,0
3761,115,124,0
4356,20,29,0
4356,61,70,0
4356,99,108,0
4356,52,61,0
102,41,50,0
525,112,121,0
525,88,97,0
525,75,84,0
525,39,48,0
843,113,122,0
843,132,141,0
843,120,129,0
843,129,138,0
843,124,133,0
4737,135,144,0
4737,145,154,0
4737,65,74,0
5639,109,118,0
5639,75,84,0
5639,126,135,0
1170,55,64,0
1170,129,138,0
2449,65,74,0
365,55,64,0
365,53,62,0
365,43,52,0
365,37,46,0
1101,107,116,0
1101,88,97,0
78,7,16,0
78,98,107,0
78,105,114,0
78,89,98,0
2745,132,141,0
2745,93,102,0
2745,32,41,0
2745,106,115,0
2745,75,84,0
2745,101,110,0
4526,65,74,0
3942,14,23,0
3942,98,107,0
4237,75,84,0
3291,28,37,0
3650,22,31,0
3650,98,107,0
3650,30,39,0
3650,33,42,0
2919,38,47,0
2919,46,55,0
2919,140,149,0
5377,55,64,0
5000,7,16,0
2782,45,54,0
2782,23,32,0
2782,147,156,0
484,27,36,0
484,43,52,0
484,129,138,0
484,89,98,0
484,101,110,0
484,33,42,0
484,49,58,0
484,58,67,0
5857,113,122,0
5857,11,20,0
5857,88,97,0
5857,75,84,0
5857,102,111,0
731,93,102,0
731,113,122,0
731,35,44,0
6097,46,55,0
6097,98,107,0
6097,24,33,0
6097,39,48,0
1895,10,19,0
5034,113,122,0
5034,75,84,0
5034,18,27,0
4168,28,37,0
4168,26,35,0
4168,88,97,0
5491,88,97,0
3287,90,99,0
3287,18,27,0
5977,121,130,0
5977,23,32,0
5977,42,51,0
5977,33,42,0
5977,96,105,0
5822,109,118,0
5822,148,157,0
5822,107,116,0
2085,132,141,0
2085,59,68,0
2085,138,147,0
1872,117,126,0
1872,111,120,0
437,48,57,0
437,91,100,0
437,13,22,0
437,105,114,0
437,108,117,0
437,60,69,0
437,62,71,0
1525,133,142,0
435,54,63,0
5454,57,66,0
5454,59,68,0
5454,107,116,0
5454,65,74,0
5454,75,84,0
453,68,77,0
453,139,148,0
2981,89,98,0
2981,75,84,0
2981,136,145,0
4950,7,16,0
4950,124,133,0
4950,148,157,0
4950,9,18,0
205,92,101,0
205,39,48,0
3043,43,52,0
3043,57,66,0
1051,51,60,0
1051,10,19,0
1051,8,17,0
1051,88,97,0
1051,32,41,0
1051,101,110,0
1051,49,58,0
1051,64,73,0
1051,133,142,0
4816,113,122,0
4816,125,134,0
4816,107,116,0
4816,119,128,0
2774,69,78,0
2774,27,36,0
4782,112,121,0
4782,20,29,0
5584,51,60,0
3088,140,149,0
3088,67,76,0
3088,64,73,0
3134,137,146,0
2040,69,78,0
2040,96,105,0
594,20,29,0
594,96,105,0
594,22,31,0
1905,25,34,0
2203,92,101,0
2203,148,157,0
936,91,100,0
936,101,110,0
324,96,105,0
615,38,47,0
615,66,75,0
3422,105,114,0
3422,50,59,0
3422,28,37,0
5400,125,134,0
5400,88,97,0
2998,48,57,0
4050,93,102,0
4050,102,111,0
4671,140,149,0
4671,66,75,0
4671,118,127,0
4671,32,41,0
4671,106,115,0
4671,138,147,0
4671,75,84,0
4671,101,110,0
4671,123,132,0
4671,86,95,0
4671,131,140,0
4671,133,142,0
4671,99,108,0
4279,15,24,0
4279,23,32,0
4279,18,27,0
1220,108,117,0
144,95,104,0
144,88,97,0
4231,38,47,0
1844,23,32,0
5936,106,115,0
3727,27,36,0
3727,88,97,0
5839,50,59,0
3808,10,19,0
3808,90,99,0
4059,144,153,0
5565,148,157,0
5565,41,50,0
969,122,131,0
969,35,44,0
969,127,136,0
4917,92,101,0
4917,122,131,0
1660,91,100,0
1660,130,139,0
1660,99,108,0
895,113,122,0
895,106,115,0
2712,58,67,0
2712,92,101,0
2712,148,157,0
2712,75,84,0
586,106,115,0
586,65,74,0
586,17,26,0
4155,38,47,0
4155,46,55,0
4155,86,95,0
4155,140,149,0
3506,91,100,0
3139,130,139,0
5850,120,129,0
5850,88,97,0
5850,95,104,0
2302,88,97,0
2302,124,133,0
5348,55,64,0
5348,46,55,0
5348,39,48,0
5348,47,56,0
5348,33,42,0
5348,26,35,0
117,75,84,0
1044,120,129,0
1044,63,72,0
1044,107,116,0
1044,89,98,0
1634,132,141,0
1634,21,30,0
1634,64,73,0
2139,66,75,0
2139,109,118,0
2139,90,99,0
1273,23,32,0
3062,75,84,0
3062,124,133,0
3791,90,99,0
3791,130,139,0
3791,142,151,0
5586,65,74,0
3449,23,32,0
3449,17,26,0
3449,25,34,0
4171,134,143,0
4171,141,150,0
4171,100,109,0
1281,88,97,0
3042,88,97,0
3051,48,57,0
4328,69,78,0
4328,151,160,0
4328,145,154,0
4328,75,84,0
3855,122,131,0
3855,119,128,0
2535,149,158,0
4755,15,24,0
4755,93,102,0
4755,117,126,0
3690,105,114,0
3690,56,65,0
3690,39,48,0
3690,58,67,0
3690,20,29,0
3690,62,71,0
3690,25,34,0
3690,149,158,0
216,120,129,0
216,145,154,0
3494,68,77,0
4795,137,146,0
4795,95,104,0
4795,106,115,0
2862,147,156,0
2862,110,119,0
2862,21,30,0
2862,145,154,0
2862,108,117,0
2862,89,98,0
2862,151,160,0
2900,110,119,0
2900,25,34,0
4922,55,64,0
4922,57,66,0
4922,140,149,0
5963,75,84,0
875,153,162,0
875,90,99,0
411,109,118,0
411,103,112,0
411,29,38,0
411,39,48,0
3876,102,111,0
3876,100,109,0
6000,57,66,0
5009,51,60,0
5009,59,68,0
5009,144,153,0
5009,61,70,0
5009,143,152,0
2747,34,43,0
2747,104,113,0
2747,71,80,0
4124,88,97,0
1527,51,60,0
1527,59,68,0
1527,75,84,0
4642,48,57,0
4642,54,63,0
4642,151,160,0
4642,86,95,0
3091,68,77,0
4104,110,119,0
4104,75,84,0
2074,21,30,0
2074,113,122,0
2074,23,32,0
2259,104,113,0
5278,121,130,0
5278,35,44,0
4648,108,117,0
4648,75,84,0
4648,100,109,0
4725,71,80,0
4725,114,123,0
4725,37,46,0
2478,138,147,0
5549,102,111,0
5549,69,78,0
5549,90,99,0
794,6,15,0
794,59,68,0
5320,71,80,0
5320,27,36,0
5320,135,144,0
5320,66,75,0
5320,138,147,0
5320,69,78,0
5320,130,139,0
907,42,51,0
907,130,139,0
5840,95,104,0
2408,144,153,0
2408,98,107,0
2408,92,101,0
2408,119,128,0
5094,40,49,0
4756,101,110,0
1636,35,44,0
1636,75,84,0
5118,144,153,0
5118,125,134,0
5118,29,38,0
5118,23,32,0
5118,52,61,0
3689,68,77,0
3689,117,126,0
3689,124,133,0
2181,44,53,0
2181,134,143,0
2181,120,129,0
2181,111,120,0
2181,89,98,0
2181,69,78,0
649,31,40,0
649,45,54,0
3079,42,51,0
3079,17,26,0
2441,32,41,0
2441,47,56,0
1231,94,103,0
366,97,106,0
366,88,97,0
366,148,157,0
366,47,56,0
366,126,135,0
5157,121,130,0
5157,111,120,0
5997,11,20,0
5997,13,22,0
5997,75,84,0
4990,94,103,0
4990,65,74,0
4990,49,58,0
4990,126,135,0
3358,111,120,0
3358,148,157,0
3358,88,97,0
3446,19,28,0
3446,64,73,0
3446,143,152,0
3446,100,109,0
4952,144,153,0
4952,120,129,0
4952,137,146,0
4952,118,127,0
4952,101,110,0
4952,151,160,0
4514,122,131,0
4514,132,141,0
4514,27,36,0
4514,110,119,0
4514,101,110,0
4514,126,135,0
4514,139,148,0
4657,22,31,0
4657,10,19,0
4657,13,22,0
4657,24,33,0
4657,56,65,0
4657,101,110,0
4657,49,58,0
2978,121,130,0
990,54,63,0
990,67,76,0
990,59,68,0
1457,22,31,0
1457,147,156,0
