seq_index,start_position,end_position,is_reversed_complement
5457,59,64,0
5457,67,72,0
5457,72,77,0
5515,37,42,0
5515,45,50,0
5515,50,55,0
5375,53,58,0
5375,61,66,0
5375,66,71,0
4831,45,50,0
4831,53,58,0
4831,58,63,0
6285,14,19,0
6285,22,27,0
6285,27,32,0
2231,14,19,0
2231,22,27,0
2231,27,32,0
2557,21,26,0
2557,29,34,0
2557,34,39,0
7773,31,36,0
7773,39,44,0
7773,44,49,0
6258,18,23,0
6258,26,31,0
6258,31,36,0
7557,11,16,0
7557,19,24,0
7557,24,29,0
3349,43,48,0
3349,51,56,0
3349,56,61,0
2204,49,54,0
2204,57,62,0
2204,62,67,0
4774,49,54,0
4774,57,62,0
4774,62,67,0
2325,53,58,0
2325,61,66,0
2325,66,71,0
