seq_index,start_position,end_position,is_reversed_complement
4985,87,96,0
4699,12,21,0
4699,107,116,0
4575,13,22,0
6072,54,63,0
6072,104,113,0
6072,46,55,0
6072,47,56,0
2287,11,20,0
2287,90,99,0
1702,35,44,0
1955,38,47,0
1955,17,26,0
2349,54,63,0
2349,50,59,0
5974,8,17,0
3405,109,118,0
686,62,71,0
184,129,138,0
2014,117,126,0
2014,33,42,0
1703,148,157,0
421,134,143,0
421,56,65,0
421,14,23,0
421,25,34,0
1265,60,69,0
1265,92,101,0
182,23,32,0
1822,109,118,0
4029,54,63,0
4029,40,49,0
4029,94,103,0
4029,87,96,0
4029,143,152,0
550,45,54,0
3323,123,132,0
3323,52,61,0
2118,116,125,0
2118,84,93,0
5434,135,144,0
5434,134,143,0
3297,95,104,0
3645,141,150,0
3854,107,116,0
3854,87,96,0
4583,94,103,0
636,140,149,0
636,28,37,0
636,56,65,0
636,128,137,0
729,131,140,0
3162,65,74,0
3162,36,45,0
1275,107,116,0
801,104,113,0
801,25,34,0
2988,44,53,0
3761,57,66,0
3761,63,72,0
3761,138,147,0
3407,86,95,0
525,52,61,0
525,135,144,0
843,36,45,0
843,96,105,0
843,130,139,0
4737,30,39,0
58,65,74,0
58,95,104,0
5639,122,131,0
2449,51,60,0
365,60,69,0
1101,56,65,0
78,14,23,0
4526,117,126,0
3942,52,61,0
3942,84,93,0
3942,100,109,0
3291,67,76,0
3650,109,118,0
3650,136,145,0
3650,42,51,0
2919,57,66,0
5000,117,126,0
5000,33,42,0
2782,29,38,0
2782,95,104,0
2782,62,71,0
484,91,100,0
731,135,144,0
731,116,125,0
731,145,154,0
731,100,109,0
6097,38,47,0
6097,96,105,0
3569,14,23,0
1895,49,58,0
1895,128,137,0
5034,71,80,0
5034,13,22,0
5034,93,102,0
5977,66,75,0
5977,102,111,0
5977,139,148,0
5822,137,146,0
5822,107,116,0
2085,105,114,0
2085,25,34,0
1872,101,110,0
437,36,45,0
1768,111,120,0
3381,36,45,0
1525,87,96,0
435,145,154,0
435,28,37,0
5454,34,43,0
453,46,55,0
453,87,96,0
453,61,70,0
2981,4,13,0
2981,142,151,0
2981,103,112,0
205,13,22,0
205,70,79,0
205,131,140,0
3043,8,17,0
1373,96,105,0
4816,128,137,0
4816,90,99,0
3586,102,111,0
4782,103,112,0
4782,146,155,0
4271,70,79,0
4271,118,127,0
1603,35,44,0
3088,44,53,0
3134,104,113,0
3134,145,154,0
1905,27,36,0
1905,45,54,0
1905,41,50,0
936,93,102,0
936,89,98,0
324,34,43,0
324,10,19,0
324,138,147,0
615,4,13,0
615,33,42,0
3422,63,72,0
3422,101,110,0
5400,66,75,0
4802,22,31,0
4802,110,119,0
4802,98,107,0
4802,97,106,0
4802,137,146,0
4802,107,116,0
2998,142,151,0
4050,88,97,0
1220,84,93,0
144,116,125,0
4231,55,64,0
5936,108,117,0
3727,59,68,0
3727,7,16,0
3727,108,117,0
3727,133,142,0
3147,111,120,0
3147,65,74,0
5839,43,52,0
5839,63,72,0
3808,142,151,0
4059,132,141,0
4059,89,98,0
969,136,145,0
969,105,114,0
1669,113,122,0
1669,30,39,0
157,40,49,0
157,68,77,0
157,3,12,0
4155,57,66,0
1069,41,50,0
1069,110,119,0
3139,111,120,0
3139,25,34,0
2302,18,27,0
2302,117,126,0
117,112,121,0
117,131,140,0
1146,84,93,0
1044,35,44,0
1044,143,152,0
5158,18,27,0
5158,107,116,0
2139,102,111,0
2139,64,73,0
2139,96,105,0
1273,21,30,0
1273,127,136,0
3791,95,104,0
3791,37,46,0
5586,110,119,0
3449,119,128,0
4171,43,52,0
1281,40,49,0
1281,107,116,0
3051,97,106,0
4328,98,107,0
4328,120,129,0
4328,64,73,0
4328,53,62,0
3855,134,143,0
3855,137,146,0
4755,52,61,0
216,57,66,0
3494,28,37,0
3494,141,150,0
2900,106,115,0
2420,55,64,0
2420,84,93,0
4922,41,50,0
5963,109,118,0
5963,131,140,0
411,47,56,0
3876,72,81,0
6000,63,72,0
1474,69,78,0
1474,55,64,0
1474,84,93,0
2747,93,102,0
1718,23,32,0
4124,44,53,0
1527,57,66,0
1527,84,93,0
4642,111,120,0
4642,143,152,0
4104,57,66,0
2074,102,111,0
2259,19,28,0
2259,114,123,0
4648,32,41,0
4648,33,42,0
4648,12,21,0
4725,2,11,0
5549,92,101,0
5549,49,58,0
5549,126,135,0
907,11,20,0
907,84,93,0
907,65,74,0
907,100,109,0
5840,142,151,0
5840,96,105,0
5840,143,152,0
2408,21,30,0
4756,137,146,0
722,36,45,0
722,66,75,0
2181,33,42,0
649,120,129,0
2441,84,93,0
2441,145,154,0
1231,113,122,0
1231,24,33,0
366,125,134,0
5157,33,42,0
5157,139,148,0
5997,36,45,0
5997,85,94,0
5997,37,46,0
4990,137,146,0
4990,111,120,0
4990,20,29,0
3358,33,42,0
3358,12,21,0
3446,28,37,0
3446,9,18,0
3446,87,96,0
4952,147,156,0
4952,94,103,0
4514,21,30,0
4514,135,144,0
4514,145,154,0
4514,124,133,0
2978,35,44,0
2978,114,123,0
990,57,66,0
990,27,36,0
990,140,149,0
1457,27,36,0
1457,84,93,0
1864,38,47,0
1115,57,66,0
1115,23,32,0
2540,106,115,0
2540,138,147,0
5048,5,14,0
5048,84,93,0
5048,65,74,0
315,121,130,0
5304,20,29,0
5304,35,44,0
5304,67,76,0
5154,101,110,0
5154,119,128,0
5154,143,152,0
4188,34,43,0
4188,21,30,0
4188,33,42,0
5570,146,155,0
1713,129,138,0
5642,4,13,0
5642,63,72,0
5642,145,154,0
4116,94,103,0
4044,53,62,0
5224,137,146,0
5224,124,133,0
3339,15,24,0
3339,145,154,0
3339,130,139,0
701,51,60,0
701,42,51,0
701,41,50,0
3346,125,134,0
3346,70,79,0
3346,87,96,0
2387,113,122,0
2387,30,39,0
3191,91,100,0
3191,105,114,0
1641,36,45,0
4325,30,39,0
1397,134,143,0
1397,32,41,0
2018,57,66,0
743,129,138,0
743,14,23,0
2128,59,68,0
4771,41,50,0
1078,110,119,0
1078,144,153,0
1078,131,140,0
4823,44,53,0
4823,133,142,0
5670,143,152,0
3321,51,60,0
3772,67,76,0
3772,93,102,0
3772,112,121,0
