seq_index,start_position,end_position,is_reversed_complement
2118,46,55,0
2118,76,85,0
1895,72,81,0
1895,102,111,0
973,43,52,0
973,73,82,0
5911,71,80,0
5911,101,110,0
1230,47,56,0
1230,77,86,0
3186,90,99,0
3186,120,129,0
5344,60,69,0
5344,90,99,0
2453,38,47,0
2453,68,77,0
3413,37,46,0
3413,67,76,0
3705,47,56,0
3705,77,86,0
1956,71,80,0
1956,101,110,0
5387,72,81,0
5387,102,111,0
1775,24,33,0
1775,54,63,0
1083,47,56,0
1083,77,86,0
2294,103,112,0
2294,133,142,0
5096,119,128,0
5096,149,158,0
565,24,33,0
565,54,63,0
1862,36,45,0
1862,66,75,0
5137,86,95,0
5137,116,125,0
2038,22,31,0
2038,52,61,0
325,47,56,0
325,77,86,0
5516,87,96,0
5516,117,126,0
2081,59,68,0
2081,89,98,0
1185,22,31,0
1185,52,61,0
4604,32,41,0
4604,62,71,0
5163,110,119,0
5163,140,149,0
5402,41,50,0
5402,71,80,0
3225,46,55,0
3225,76,85,0
950,72,81,0
950,102,111,0
822,72,81,0
822,102,111,0
1465,90,99,0
1465,120,129,0
1671,18,27,0
1671,48,57,0
3015,95,104,0
3015,125,134,0
2538,41,50,0
2538,71,80,0
977,87,96,0
977,117,126,0
1616,32,41,0
1616,62,71,0
1297,58,67,0
1297,88,97,0
3022,47,56,0
3022,77,86,0
3535,46,55,0
3535,76,85,0
3410,86,95,0
3410,116,125,0
2247,100,109,0
2247,130,139,0
