seq_index,start_position,end_position,is_reversed_complement
6974,11,16,0
6974,31,36,0
7709,15,20,0
7709,35,40,0
7709,30,35,0
7709,50,55,0
3586,52,57,0
3586,72,77,0
1844,40,45,0
1844,60,65,0
1146,29,34,0
1146,49,54,0
7113,49,54,0
7113,69,74,0
1044,29,34,0
1044,49,54,0
5158,48,53,0
5158,68,73,0
875,35,40,0
875,55,60,0
2978,43,48,0
2978,63,68,0
2949,29,34,0
2949,49,54,0
7455,18,23,0
7455,38,43,0
3355,13,18,0
3355,33,38,0
1791,49,54,0
1791,69,74,0
4140,15,20,0
4140,35,40,0
1829,54,59,0
1829,74,79,0
709,24,29,0
709,44,49,0
4957,46,51,0
4957,66,71,0
6130,52,57,0
6130,72,77,0
6657,48,53,0
6657,68,73,0
5559,28,33,0
5559,48,53,0
3459,22,27,0
3459,42,47,0
6092,47,52,0
6092,67,72,0
6717,23,28,0
6717,43,48,0
3881,53,58,0
3881,73,78,0
6893,39,44,0
6893,59,64,0
6418,25,30,0
6418,45,50,0
6197,14,19,0
6197,34,39,0
7613,6,11,0
7613,26,31,0
7613,41,46,0
7613,61,66,0
5601,24,29,0
5601,44,49,0
2915,52,57,0
2915,72,77,0
576,55,60,0
576,75,80,0
492,22,27,0
492,42,47,0
3313,40,45,0
3313,60,65,0
1002,21,26,0
1002,41,46,0
5194,39,44,0
5194,59,64,0
984,13,18,0
984,33,38,0
193,9,14,0
193,29,34,0
1290,40,45,0
1290,60,65,0
4479,32,37,0
4479,52,57,0
46,30,35,0
46,50,55,0
5134,21,26,0
5134,41,46,0
5134,10,15,0
5134,30,35,0
4852,24,29,0
4852,44,49,0
3625,49,54,0
3625,69,74,0
1009,7,12,0
1009,27,32,0
3912,32,37,0
3912,52,57,0
4614,7,12,0
4614,27,32,0
5273,47,52,0
5273,67,72,0
5270,49,54,0
5270,69,74,0
5296,19,24,0
5296,39,44,0
4660,53,58,0
4660,73,78,0
4727,32,37,0
4727,52,57,0
4727,12,17,0
4727,32,37,0
4278,26,31,0
4278,46,51,0
3622,31,36,0
3622,51,56,0
2011,45,50,0
2011,65,70,0
7436,47,52,0
7436,67,72,0
1774,19,24,0
1774,39,44,0
781,45,50,0
781,65,70,0
7723,32,37,0
7723,52,57,0
4257,53,58,0
4257,73,78,0
5443,42,47,0
5443,62,67,0
3958,20,25,0
3958,40,45,0
3779,14,19,0
3779,34,39,0
2734,50,55,0
2734,70,75,0
7487,7,12,0
7487,27,32,0
6848,19,24,0
6848,39,44,0
7476,46,51,0
7476,66,71,0
6664,26,31,0
6664,46,51,0
1342,46,51,0
1342,66,71,0
427,36,41,0
427,56,61,0
2094,50,55,0
2094,70,75,0
7595,56,61,0
7595,76,81,0
1741,22,27,0
1741,42,47,0
602,45,50,0
602,65,70,0
7306,32,37,0
7306,52,57,0
3354,40,45,0
3354,60,65,0
3628,52,57,0
3628,72,77,0
3628,32,37,0
3628,52,57,0
113,38,43,0
113,58,63,0
3888,13,18,0
3888,33,38,0
2621,42,47,0
2621,62,67,0
2106,43,48,0
2106,63,68,0
7736,41,46,0
7736,61,66,0
6359,41,46,0
6359,61,66,0
4537,48,53,0
4537,68,73,0
5370,46,51,0
5370,66,71,0
5370,24,29,0
5370,44,49,0
3471,41,46,0
3471,61,66,0
1948,32,37,0
1948,52,57,0
7916,43,48,0
7916,63,68,0
1114,29,34,0
1114,49,54,0
2231,12,17,0
2231,32,37,0
5109,11,16,0
5109,31,36,0
5109,20,25,0
5109,40,45,0
6342,42,47,0
6342,62,67,0
4712,36,41,0
4712,56,61,0
443,52,57,0
443,72,77,0
3205,21,26,0
3205,41,46,0
1235,13,18,0
1235,33,38,0
1235,33,38,0
1235,53,58,0
4331,33,38,0
4331,53,58,0
2278,39,44,0
2278,59,64,0
6611,21,26,0
6611,41,46,0
6611,42,47,0
6611,62,67,0
2956,50,55,0
2956,70,75,0
7193,45,50,0
7193,65,70,0
2882,27,32,0
2882,47,52,0
51,20,25,0
51,40,45,0
5412,31,36,0
5412,51,56,0
9,53,58,0
9,73,78,0
542,54,59,0
542,74,79,0
4533,44,49,0
4533,64,69,0
7245,30,35,0
7245,50,55,0
1255,41,46,0
1255,61,66,0
5090,38,43,0
5090,58,63,0
6819,17,22,0
6819,37,42,0
6532,44,49,0
6532,64,69,0
1899,44,49,0
1899,64,69,0
4422,25,30,0
4422,45,50,0
110,53,58,0
110,73,78,0
4375,32,37,0
4375,52,57,0
4482,39,44,0
4482,59,64,0
4153,19,24,0
4153,39,44,0
5405,32,37,0
5405,52,57,0
4980,51,56,0
4980,71,76,0
4640,20,25,0
4640,40,45,0
689,16,21,0
689,36,41,0
487,52,57,0
487,72,77,0
47,34,39,0
47,54,59,0
4921,25,30,0
4921,45,50,0
299,50,55,0
299,70,75,0
6133,9,14,0
6133,29,34,0
5742,49,54,0
5742,69,74,0
7100,27,32,0
7100,47,52,0
7430,25,30,0
7430,45,50,0
4426,54,59,0
4426,74,79,0
6085,37,42,0
6085,57,62,0
4390,8,13,0
4390,28,33,0
6278,20,25,0
6278,40,45,0
498,20,25,0
498,40,45,0
3423,31,36,0
3423,51,56,0
5738,50,55,0
5738,70,75,0
229,40,45,0
229,60,65,0
229,50,55,0
229,70,75,0
4444,37,42,0
4444,57,62,0
5887,36,41,0
5887,56,61,0
6301,25,30,0
6301,45,50,0
1269,28,33,0
1269,48,53,0
4138,52,57,0
4138,72,77,0
4138,32,37,0
4138,52,57,0
7773,49,54,0
7773,69,74,0
7465,52,57,0
7465,72,77,0
858,38,43,0
858,58,63,0
6662,8,13,0
6662,28,33,0
624,40,45,0
624,60,65,0
4066,51,56,0
4066,71,76,0
1589,48,53,0
1589,68,73,0
2992,44,49,0
2992,64,69,0
6933,37,42,0
6933,57,62,0
3050,55,60,0
3050,75,80,0
4160,39,44,0
4160,59,64,0
1453,30,35,0
1453,50,55,0
5856,49,54,0
5856,69,74,0
584,32,37,0
584,52,57,0
2059,14,19,0
2059,34,39,0
1458,14,19,0
1458,34,39,0
5261,31,36,0
5261,51,56,0
5229,30,35,0
5229,50,55,0
7556,22,27,0
7556,42,47,0
1977,40,45,0
1977,60,65,0
1209,7,12,0
1209,27,32,0
509,31,36,0
509,51,56,0
896,13,18,0
896,33,38,0
6873,41,46,0
6873,61,66,0
62,51,56,0
62,71,76,0
2084,12,17,0
2084,32,37,0
6573,44,49,0
6573,64,69,0
6987,49,54,0
6987,69,74,0
6930,26,31,0
6930,46,51,0
4269,30,35,0
4269,50,55,0
560,31,36,0
560,51,56,0
7931,31,36,0
7931,51,56,0
3514,40,45,0
3514,60,65,0
2053,38,43,0
2053,58,63,0
637,44,49,0
637,64,69,0
6011,6,11,0
6011,26,31,0
3325,21,26,0
3325,41,46,0
2873,34,39,0
2873,54,59,0
5191,41,46,0
5191,61,66,0
7914,21,26,0
7914,41,46,0
4763,8,13,0
4763,28,33,0
1055,28,33,0
1055,48,53,0
5785,19,24,0
5785,39,44,0
91,16,21,0
91,36,41,0
1324,31,36,0
1324,51,56,0
5141,31,36,0
5141,51,56,0
3843,30,35,0
3843,50,55,0
4681,55,60,0
4681,75,80,0
3114,29,34,0
3114,49,54,0
6961,53,58,0
6961,73,78,0
3241,54,59,0
3241,74,79,0
7681,39,44,0
7681,59,64,0
880,34,39,0
880,54,59,0
1769,27,32,0
1769,47,52,0
1769,46,51,0
1769,66,71,0
1769,47,52,0
1769,67,72,0
7703,33,38,0
7703,53,58,0
1478,39,44,0
1478,59,64,0
595,14,19,0
595,34,39,0
5973,23,28,0
5973,43,48,0
5973,43,48,0
5973,63,68,0
5045,46,51,0
5045,66,71,0
2129,42,47,0
2129,62,67,0
7090,12,17,0
7090,32,37,0
1308,50,55,0
1308,70,75,0
65,18,23,0
65,38,43,0
5798,50,55,0
5798,70,75,0
4528,12,17,0
4528,32,37,0
1283,11,16,0
1283,31,36,0
6812,43,48,0
6812,63,68,0
6563,36,41,0
6563,56,61,0
1596,13,18,0
1596,33,38,0
972,32,37,0
972,52,57,0
3359,25,30,0
3359,45,50,0
6758,31,36,0
6758,51,56,0
7102,32,37,0
7102,52,57,0
6512,53,58,0
6512,73,78,0
2091,40,45,0
2091,60,65,0
5676,12,17,0
5676,32,37,0
2079,36,41,0
2079,56,61,0
5995,41,46,0
5995,61,66,0
5551,15,20,0
5551,35,40,0
6896,32,37,0
6896,52,57,0
7086,33,38,0
7086,53,58,0
3777,36,41,0
3777,56,61,0
944,45,50,0
944,65,70,0
6033,24,29,0
6033,44,49,0
6537,44,49,0
6537,64,69,0
7590,21,26,0
7590,41,46,0
24,6,11,0
24,26,31,0
6144,18,23,0
6144,38,43,0
3708,41,46,0
3708,61,66,0
6083,42,47,0
6083,62,67,0
5303,17,22,0
5303,37,42,0
3083,47,52,0
3083,67,72,0
4337,55,60,0
4337,75,80,0
5792,14,19,0
5792,34,39,0
2932,44,49,0
2932,64,69,0
1052,47,52,0
1052,67,72,0
3751,26,31,0
3751,46,51,0
6750,11,16,0
6750,31,36,0
4773,33,38,0
4773,53,58,0
7238,14,19,0
7238,34,39,0
6559,20,25,0
6559,40,45,0
2818,34,39,0
2818,54,59,0
7734,17,22,0
7734,37,42,0
5425,22,27,0
5425,42,47,0
4646,43,48,0
4646,63,68,0
2448,7,12,0
2448,27,32,0
6187,21,26,0
6187,41,46,0
3429,46,51,0
3429,66,71,0
6639,39,44,0
6639,59,64,0
3511,36,41,0
3511,56,61,0
7650,32,37,0
7650,52,57,0
1825,29,34,0
1825,49,54,0
4037,10,15,0
4037,30,35,0
1199,52,57,0
1199,72,77,0
7666,45,50,0
7666,65,70,0
834,43,48,0
834,63,68,0
5013,52,57,0
5013,72,77,0
5040,47,52,0
5040,67,72,0
148,20,25,0
148,40,45,0
6736,27,32,0
6736,47,52,0
6736,47,52,0
6736,67,72,0
522,21,26,0
522,41,46,0
772,40,45,0
772,60,65,0
7846,49,54,0
7846,69,74,0
6413,54,59,0
6413,74,79,0
3118,52,57,0
3118,72,77,0
3742,51,56,0
3742,71,76,0
5846,17,22,0
5846,37,42,0
7661,53,58,0
7661,73,78,0
5283,39,44,0
5283,59,64,0
677,46,51,0
677,66,71,0
7349,16,21,0
7349,36,41,0
3885,47,52,0
3885,67,72,0
7228,33,38,0
7228,53,58,0
5660,19,24,0
5660,39,44,0
4318,15,20,0
4318,35,40,0
631,41,46,0
631,61,66,0
7074,36,41,0
7074,56,61,0
2955,40,45,0
2955,60,65,0
5143,27,32,0
5143,47,52,0
7034,47,52,0
7034,67,72,0
1986,29,34,0
1986,49,54,0
1729,50,55,0
1729,70,75,0
5336,47,52,0
5336,67,72,0
5716,30,35,0
5716,50,55,0
3451,41,46,0
3451,61,66,0
556,30,35,0
556,50,55,0
6430,49,54,0
6430,69,74,0
1833,31,36,0
1833,51,56,0
1833,12,17,0
1833,32,37,0
3078,12,17,0
3078,32,37,0
4680,24,29,0
4680,44,49,0
4329,6,11,0
4329,26,31,0
7376,29,34,0
7376,49,54,0
1266,40,45,0
1266,60,65,0
1266,20,25,0
1266,40,45,0
3456,20,25,0
3456,40,45,0
215,40,45,0
215,60,65,0
7339,38,43,0
7339,58,63,0
890,31,36,0
890,51,56,0
1196,20,25,0
1196,40,45,0
7533,33,38,0
7533,53,58,0
6132,33,38,0
6132,53,58,0
2976,47,52,0
2976,67,72,0
1625,29,34,0
1625,49,54,0
1315,47,52,0
1315,67,72,0
4431,6,11,0
4431,26,31,0
258,36,41,0
258,56,61,0
1972,14,19,0
1972,34,39,0
7761,41,46,0
7761,61,66,0
3031,28,33,0
3031,48,53,0
2839,9,14,0
2839,29,34,0
1430,11,16,0
1430,31,36,0
999,56,61,0
999,76,81,0
6202,12,17,0
6202,32,37,0
6358,39,44,0
6358,59,64,0
5346,41,46,0
5346,61,66,0
5726,23,28,0
5726,43,48,0
7633,39,44,0
7633,59,64,0
3388,24,29,0
3388,44,49,0
5861,15,20,0
5861,35,40,0
4105,15,20,0
4105,35,40,0
6519,19,24,0
6519,39,44,0
4151,26,31,0
4151,46,51,0
7209,27,32,0
7209,47,52,0
1840,54,59,0
1840,74,79,0
4819,18,23,0
4819,38,43,0
4819,25,30,0
4819,45,50,0
1909,9,14,0
1909,29,34,0
6858,26,31,0
6858,46,51,0
511,16,21,0
511,36,41,0
7104,49,54,0
7104,69,74,0
3803,27,32,0
3803,47,52,0
7886,16,21,0
7886,36,41,0
4196,9,14,0
4196,29,34,0
441,17,22,0
441,37,42,0
2624,46,51,0
2624,66,71,0
3846,34,39,0
3846,54,59,0
3846,25,30,0
3846,45,50,0
