seq_index,start_position,end_position,is_reversed_complement
1702,64,73,0
1702,81,90,0
3407,64,73,0
3407,81,90,0
3942,48,57,0
3942,65,74,0
437,69,78,0
437,86,95,0
4271,70,79,0
4271,87,96,0
4671,107,116,0
4671,124,133,0
4328,64,73,0
4328,81,90,0
3494,44,53,0
3494,61,70,0
2862,15,24,0
2862,32,41,0
2074,64,73,0
2074,81,90,0
2259,98,107,0
2259,115,124,0
5320,124,133,0
5320,141,150,0
1864,55,64,0
1864,72,81,0
5224,130,139,0
5224,147,156,0
3339,87,96,0
3339,104,113,0
240,70,79,0
240,87,96,0
3116,45,54,0
3116,62,71,0
2162,42,51,0
2162,59,68,0
2895,101,110,0
2895,118,127,0
4512,41,50,0
4512,58,67,0
2188,56,65,0
2188,73,82,0
4629,108,117,0
4629,125,134,0
2801,107,116,0
2801,124,133,0
6016,116,125,0
6016,133,142,0
4477,42,51,0
4477,59,68,0
4413,36,45,0
4413,53,62,0
5763,37,46,0
5763,54,63,0
5536,49,58,0
5536,66,75,0
3398,43,52,0
3398,60,69,0
4487,99,108,0
4487,116,125,0
3743,128,137,0
3743,145,154,0
352,56,65,0
352,73,82,0
3119,93,102,0
3119,110,119,0
5409,41,50,0
5409,58,67,0
2915,64,73,0
2915,81,90,0
2378,17,26,0
2378,34,43,0
713,64,73,0
713,81,90,0
1193,44,53,0
1193,61,70,0
2172,22,31,0
2172,39,48,0
170,72,81,0
170,89,98,0
1996,64,73,0
1996,81,90,0
1347,119,128,0
1347,136,145,0
1566,64,73,0
1566,81,90,0
1261,67,76,0
1261,84,93,0
4886,64,73,0
4886,81,90,0
5557,107,116,0
5557,124,133,0
891,64,73,0
891,81,90,0
1756,64,73,0
1756,81,90,0
2100,49,58,0
2100,66,75,0
3883,64,73,0
3883,81,90,0
4248,36,45,0
4248,53,62,0
4614,70,79,0
4614,87,96,0
3894,46,55,0
3894,63,72,0
3801,35,44,0
3801,52,61,0
4355,113,122,0
4355,130,139,0
1681,64,73,0
1681,81,90,0
1947,108,117,0
1947,125,134,0
4008,72,81,0
4008,89,98,0
392,94,103,0
392,111,120,0
392,64,73,0
392,81,90,0
1746,107,116,0
1746,124,133,0
4693,43,52,0
4693,60,69,0
5421,30,39,0
5421,47,56,0
2975,47,56,0
2975,64,73,0
4682,107,116,0
4682,124,133,0
233,94,103,0
233,111,120,0
1214,12,21,0
1214,29,38,0
3222,37,46,0
3222,54,63,0
4814,64,73,0
4814,81,90,0
1399,23,32,0
1399,40,49,0
2230,107,116,0
2230,124,133,0
4751,90,99,0
4751,107,116,0
1342,11,20,0
1342,28,37,0
4743,113,122,0
4743,130,139,0
5101,87,96,0
5101,104,113,0
5082,64,73,0
5082,81,90,0
2879,54,63,0
2879,71,80,0
5537,104,113,0
5537,121,130,0
3859,72,81,0
3859,89,98,0
1319,43,52,0
1319,60,69,0
257,72,81,0
257,89,98,0
336,64,73,0
336,81,90,0
6103,64,73,0
6103,81,90,0
2548,120,129,0
2548,137,146,0
1914,72,81,0
1914,89,98,0
3611,64,73,0
3611,81,90,0
4253,23,32,0
4253,40,49,0
6091,94,103,0
6091,111,120,0
4610,33,42,0
4610,50,59,0
2363,37,46,0
2363,54,63,0
3431,64,73,0
3431,81,90,0
2541,64,73,0
2541,81,90,0
5325,70,79,0
5325,87,96,0
3084,126,135,0
3084,143,152,0
4167,127,136,0
4167,144,153,0
694,128,137,0
694,145,154,0
4929,109,118,0
4929,126,135,0
864,64,73,0
864,81,90,0
2385,64,73,0
2385,81,90,0
988,104,113,0
988,121,130,0
6014,15,24,0
6014,32,41,0
2321,94,103,0
2321,111,120,0
2321,64,73,0
2321,81,90,0
830,16,25,0
830,33,42,0
3472,114,123,0
3472,131,140,0
1084,88,97,0
1084,105,114,0
3539,94,103,0
3539,111,120,0
6048,52,61,0
6048,69,78,0
1744,111,120,0
1744,128,137,0
501,122,131,0
501,139,148,0
3440,126,135,0
3440,143,152,0
5598,64,73,0
5598,81,90,0
1277,64,73,0
1277,81,90,0
4286,107,116,0
4286,124,133,0
1235,93,102,0
1235,110,119,0
6050,30,39,0
6050,47,56,0
1547,71,80,0
1547,88,97,0
5971,14,23,0
5971,31,40,0
806,119,128,0
806,136,145,0
1303,109,118,0
1303,126,135,0
1207,64,73,0
1207,81,90,0
4897,96,105,0
4897,113,122,0
5248,98,107,0
5248,115,124,0
1505,30,39,0
1505,47,56,0
3058,87,96,0
3058,104,113,0
1151,11,20,0
1151,28,37,0
5383,109,118,0
5383,126,135,0
5383,117,126,0
5383,134,143,0
4741,125,134,0
4741,142,151,0
4299,42,51,0
4299,59,68,0
1992,31,40,0
1992,48,57,0
825,24,33,0
825,41,50,0
543,92,101,0
543,109,118,0
939,107,116,0
939,124,133,0
3178,30,39,0
3178,47,56,0
1382,56,65,0
