seq_index,start_position,end_position,is_reversed_complement
2262,73,82,0
2262,98,107,0
2262,120,129,0
1925,73,82,0
1925,98,107,0
1925,120,129,0
2314,73,82,0
2314,98,107,0
2314,120,129,0
4745,73,82,0
4745,98,107,0
4745,120,129,0
4450,73,82,0
4450,98,107,0
4450,120,129,0
1788,73,82,0
1788,98,107,0
1788,120,129,0
1558,73,82,0
1558,98,107,0
1558,120,129,0
3144,28,37,0
3144,53,62,0
3144,75,84,0
4602,73,82,0
4602,98,107,0
4602,120,129,0
2070,73,82,0
2070,98,107,0
2070,120,129,0
3733,73,82,0
3733,98,107,0
3733,120,129,0
5609,73,82,0
5609,98,107,0
5609,120,129,0
224,89,98,0
224,114,123,0
224,136,145,0
