seq_index,start_position,end_position,is_reversed_complement
4985,136,143,0
4985,28,35,0
4985,6,13,0
4699,19,26,0
4699,140,147,0
4699,21,28,0
4575,98,105,0
4575,70,77,0
6072,72,79,0
6072,49,56,0
2287,121,128,0
2287,138,145,0
2287,37,44,0
2287,141,148,0
1702,121,128,0
1702,21,28,0
1702,72,79,0
1702,62,69,0
1955,147,154,0
1955,60,67,0
1955,93,100,0
2349,110,117,0
2349,93,100,0
2349,70,77,0
2349,107,114,0
5974,72,79,0
3405,124,131,0
3405,108,115,0
2840,0,7,0
2875,132,139,0
2875,35,42,0
2875,114,121,0
2875,95,102,0
2875,93,100,0
686,11,18,0
686,13,20,0
686,95,102,0
184,57,64,0
1089,107,114,0
1089,47,54,0
1089,14,21,0
2014,55,62,0
3292,59,66,0
3292,39,46,0
1703,109,116,0
1703,58,65,0
3219,110,117,0
3219,43,50,0
3219,17,24,0
4887,45,52,0
4887,65,72,0
421,145,152,0
1265,52,59,0
1265,41,48,0
182,121,128,0
182,98,105,0
182,118,125,0
1822,11,18,0
4029,118,125,0
4029,100,107,0
550,95,102,0
550,50,57,0
3323,15,22,0
3323,59,66,0
3323,127,134,0
2118,72,79,0
2118,13,20,0
2118,111,118,0
2118,47,54,0
5434,52,59,0
5434,32,39,0
5434,65,72,0
5434,138,145,0
5434,102,109,0
5434,127,134,0
3297,21,28,0
3645,27,34,0
3645,21,28,0
3645,135,142,0
3645,6,13,0
3645,99,106,0
3718,50,57,0
3854,36,43,0
3854,10,17,0
3854,97,104,0
3854,111,118,0
3854,64,71,0
4583,54,61,0
4583,140,147,0
4583,106,113,0
4583,14,21,0
636,136,143,0
636,95,102,0
729,50,57,0
729,106,113,0
729,131,138,0
3162,131,138,0
1049,113,120,0
1049,136,143,0
1049,52,59,0
1049,95,102,0
1049,102,109,0
1049,126,133,0
1275,35,42,0
1275,13,20,0
1275,95,102,0
801,40,47,0
801,135,142,0
801,37,44,0
801,141,148,0
2988,27,34,0
3761,35,42,0
3761,95,102,0
3761,38,45,0
3761,103,110,0
3761,100,107,0
4356,136,143,0
4356,48,55,0
4356,91,98,0
3407,128,135,0
3407,131,138,0
102,15,22,0
102,122,129,0
102,110,117,0
102,43,50,0
102,72,79,0
102,50,57,0
102,60,67,0
102,17,24,0
525,16,23,0
525,52,59,0
525,46,53,0
525,66,73,0
843,100,107,0
4737,66,73,0
4737,43,50,0
4737,13,20,0
4737,111,118,0
58,114,121,0
58,93,100,0
58,47,54,0
5639,113,120,0
5639,29,36,0
5639,52,59,0
5639,21,28,0
5639,68,75,0
5639,97,104,0
5639,13,20,0
5639,128,135,0
5639,119,126,0
1170,132,139,0
1170,13,20,0
2449,48,55,0
2449,72,79,0
2449,13,20,0
2449,124,131,0
2449,90,97,0
365,34,41,0
365,94,101,0
1101,136,143,0
78,133,140,0
1387,127,134,0
2745,122,129,0
2745,22,29,0
2745,69,76,0
3942,54,61,0
3942,98,105,0
3942,111,118,0
3291,22,29,0
4237,18,25,0
4237,90,97,0
2782,46,53,0
2782,95,102,0
5000,23,30,0
5377,40,47,0
5377,43,50,0
5377,67,74,0
5377,125,132,0
484,89,96,0
484,99,106,0
5857,14,21,0
731,137,144,0
731,26,33,0
6097,4,11,0
6097,136,143,0
3569,129,136,0
3569,105,112,0
3569,9,16,0
1895,98,105,0
1895,115,122,0
5034,71,78,0
5034,105,112,0
5034,38,45,0
5034,125,132,0
