seq_index,start_position,end_position,is_reversed_complement
4699,50,56,0
4699,76,82,0
1955,85,91,0
1955,111,117,0
2840,85,91,0
2840,111,117,0
5434,118,124,0
5434,144,150,0
365,94,100,0
365,120,126,0
437,69,75,0
437,95,101,0
2981,18,24,0
2981,44,50,0
1603,109,115,0
1603,135,141,0
1603,47,53,0
1603,73,79,0
5565,85,91,0
5565,111,117,0
5348,21,27,0
5348,47,53,0
4725,106,112,0
4725,132,138,0
5549,118,124,0
5549,144,150,0
4188,51,57,0
4188,77,83,0
4116,85,91,0
4116,111,117,0
2262,50,56,0
2262,76,82,0
3772,121,127,0
3772,147,153,0
6015,85,91,0
6015,111,117,0
1871,91,97,0
1871,117,123,0
4605,85,91,0
4605,111,117,0
4605,20,26,0
4605,46,52,0
4266,85,91,0
4266,111,117,0
130,85,91,0
130,111,117,0
5559,85,91,0
5559,111,117,0
1392,85,91,0
1392,111,117,0
1960,45,51,0
1960,71,77,0
4487,85,91,0
4487,111,117,0
4254,85,91,0
4254,111,117,0
2513,85,91,0
2513,111,117,0
1700,85,91,0
1700,111,117,0
6041,67,73,0
6041,93,99,0
4247,50,56,0
4247,76,82,0
4962,121,127,0
4962,147,153,0
409,85,91,0
409,111,117,0
1012,102,108,0
1012,128,134,0
5605,85,91,0
5605,111,117,0
2286,107,113,0
2286,133,139,0
1177,45,51,0
1177,71,77,0
2099,45,51,0
2099,71,77,0
4762,103,109,0
4762,129,135,0
5557,94,100,0
5557,120,126,0
857,85,91,0
857,111,117,0
2163,116,122,0
2163,142,148,0
3910,85,91,0
3910,111,117,0
1615,85,91,0
1615,111,117,0
1292,85,91,0
1292,111,117,0
4177,24,30,0
4177,50,56,0
4177,85,91,0
4177,111,117,0
903,85,91,0
903,111,117,0
2165,24,30,0
2165,50,56,0
5296,85,91,0
5296,111,117,0
434,94,100,0
434,120,126,0
2348,85,91,0
2348,111,117,0
3044,85,91,0
3044,111,117,0
1945,47,53,0
1945,73,79,0
1546,24,30,0
1546,50,56,0
4396,72,78,0
4396,98,104,0
4195,85,91,0
4195,111,117,0
2461,85,91,0
2461,111,117,0
5340,112,118,0
5340,138,144,0
2943,85,91,0
2943,111,117,0
4718,37,43,0
4718,63,69,0
175,85,91,0
175,111,117,0
2571,66,72,0
2571,92,98,0
523,107,113,0
523,133,139,0
848,109,115,0
848,135,141,0
3906,47,53,0
3906,73,79,0
5325,85,91,0
5325,111,117,0
4929,42,48,0
4929,68,74,0
5062,85,91,0
5062,111,117,0
3675,85,91,0
3675,111,117,0
813,47,53,0
813,73,79,0
4996,38,44,0
4996,64,70,0
3856,85,91,0
3856,111,117,0
4453,51,57,0
