seq_index,start_position,end_position,is_reversed_complement
4985,109,115,0
4985,52,58,0
4985,91,97,0
4985,67,73,0
4985,117,123,0
4985,53,59,0
4699,77,83,0
4699,140,146,0
4699,48,54,0
4699,5,11,0
4699,125,131,0
4575,19,25,0
4575,13,19,0
4575,64,70,0
4575,41,47,0
6072,77,83,0
2287,77,83,0
2287,10,16,0
2287,76,82,0
2287,56,62,0
1702,77,83,0
1702,16,22,0
1702,120,126,0
1702,38,44,0
1702,25,31,0
1955,116,122,0
1955,42,48,0
1955,43,49,0
1955,117,123,0
1955,64,70,0
1955,99,105,0
2349,46,52,0
5974,130,136,0
3405,71,77,0
3405,14,20,0
2840,52,58,0
2840,22,28,0
2840,117,123,0
2840,64,70,0
2840,53,59,0
2840,61,67,0
686,26,32,0
686,119,125,0
184,144,150,0
184,63,69,0
184,143,149,0
2014,21,27,0
2014,61,67,0
3292,77,83,0
1703,103,109,0
1703,100,106,0
4887,77,83,0
421,145,151,0
421,101,107,0
1265,44,50,0
1265,121,127,0
1822,23,29,0
1822,41,47,0
4029,77,83,0
4029,36,42,0
4029,48,54,0
4029,47,53,0
550,55,61,0
550,22,28,0
3323,130,136,0
3323,133,139,0
2118,114,120,0
5434,16,22,0
5434,116,122,0
5434,39,45,0
3297,77,83,0
3297,20,26,0
3297,37,43,0
3297,61,67,0
3297,99,105,0
3645,77,83,0
3645,38,44,0
3645,141,147,0
3718,77,83,0
3718,103,109,0
3718,127,133,0
4583,7,13,0
4583,112,118,0
4583,119,125,0
3854,86,92,0
636,77,83,0
636,51,57,0
636,38,44,0
729,100,106,0
3162,102,108,0
1049,71,77,0
1049,115,121,0
1275,100,106,0
801,28,34,0
2988,77,83,0
2988,68,74,0
2988,86,92,0
4356,50,56,0
4356,20,26,0
3407,77,83,0
3407,76,82,0
525,20,26,0
4737,19,25,0
4737,57,63,0
58,77,83,0
58,135,141,0
58,134,140,0
58,142,148,0
5639,77,83,0
5639,65,71,0
5639,127,133,0
1170,116,122,0
1170,42,48,0
1170,43,49,0
1170,154,160,0
1170,62,68,0
1170,61,67,0
365,77,83,0
1101,110,116,0
1101,86,92,0
78,77,83,0
78,110,116,0
78,100,106,0
1387,77,83,0
1387,91,97,0
1387,137,143,0
2745,77,83,0
2745,140,146,0
2745,99,105,0
4526,77,83,0
4526,136,142,0
3942,27,33,0
3942,97,103,0
3942,117,123,0
3942,64,70,0
3291,77,83,0
4237,93,99,0
4237,47,53,0
2919,91,97,0
2919,12,18,0
